,id1,id2
290,57,1323
291,57,1878
292,57,2076
293,57,2146
294,57,2159
295,58,57
296,58,341
297,58,542
298,58,1242
299,59,527
300,59,1133
301,59,1246
302,59,1325
303,60,61
304,60,871
305,60,2078
306,61,60
307,61,66
308,61,871
309,61,2078
310,61,2130
311,62,1590
312,63,16
313,64,5
314,65,480
315,66,61
316,66,70
317,66,2130
318,67,1436
319,67,2308
320,68,914
321,68,1527
322,68,1559
323,68,1722
324,68,2396
325,68,2434
326,68,2629
327,69,227
328,70,66
329,70,131
330,71,72
331,71,73
332,72,71
333,72,73
334,72,1436
335,72,2066
336,73,71
337,73,72
338,74,5
339,74,124
340,74,128
341,74,171
342,74,351
343,74,369
344,74,404
345,74,941
346,74,1105
347,74,1237
348,74,1241
349,74,1319
350,74,1470
351,74,2666
352,75,611
353,75,677
354,75,952
355,75,2014
356,76,878
357,76,879
358,76,1375
359,77,1056
360,78,714
361,78,2627
362,79,93
363,79,886
364,79,2124
365,80,512
366,80,2157
367,81,82
368,81,852
369,82,81
370,82,852
371,83,1508
372,83,1542
373,83,2798
374,84,119
375,85,125
376,86,594
377,86,964
378,87,16
379,87,32
380,87,1054
381,87,1258
382,87,1391
383,88,298
384,88,1628
385,89,892
386,89,1286
387,90,389
388,90,2557
389,91,57
390,91,100
391,91,119
392,91,170
393,91,205
394,91,341
395,91,422
396,91,542
397,91,561
398,91,820
399,91,833
400,91,857
401,91,901
402,91,978
403,91,1023
404,91,1084
405,91,1099
406,91,1184
407,91,1318
408,91,1323
409,91,1456
410,91,1568
411,91,1578
412,91,1597
413,91,1836
414,91,1878
415,91,1955
416,91,2146
417,91,2159
418,91,2164
419,91,2362
420,91,2560
421,91,2752
422,92,273
423,93,8
424,93,79
425,93,304
426,93,343
427,93,362
428,93,407
429,93,413
430,93,414
431,93,455
432,93,505
433,93,535
434,93,569
435,93,627
436,93,698
437,93,867
438,93,890
439,93,971
440,93,982
441,93,998
442,93,1012
443,93,1043
444,93,1066
445,93,1093
446,93,1098
447,93,1104
448,93,1164
449,93,1262
450,93,1408
451,93,1416
452,93,1427
453,93,1648
454,93,1703
455,93,1714
456,93,1716
457,93,1718
458,93,1841
459,93,2060
460,93,2271
461,93,2469
462,93,2563
463,93,2645
464,94,603
465,94,815
466,95,52
467,96,1555
468,96,1732
469,97,1508
470,97,1938
471,98,38
472,99,26
473,99,215
474,99,368
475,99,1022
476,99,1120
477,99,1146
478,99,1801
479,99,2409
480,99,2410
481,99,2415
482,99,2508
483,99,2600
484,99,2701
485,100,14
486,100,91
